customer_state,customers,orders,revenue,average_order_value
SP,40302,41746,5202955.05,125.75
RJ,12384,12852,1824092.67,142.93
MG,11259,11635,1585308.03,137.33
RS,5277,5466,750304.02,138.13
PR,4882,5045,683083.76,136.67
SC,3534,3637,520553.34,144.12
BA,3277,3380,511349.99,152.28
DF,2075,2140,302603.94,142.4
GO,1952,2020,294591.95,146.78
ES,1964,2033,275037.31,135.82
PE,1609,1652,262788.03,159.46
CE,1313,1336,227254.71,171.25
PA,949,975,178947.81,184.48
MT,876,907,156453.53,173.26
MA,726,747,119648.22,161.69
MS,694,715,116812.64,164.76
PB,519,536,115268.08,216.67
PI,482,495,86914.08,176.3
RN,474,485,83034.98,172.27
AL,401,413,80314.81,195.41
SE,342,350,58920.85,170.79
TO,273,280,49621.74,177.86
RO,240,253,46140.64,186.8
AM,143,148,22356.84,152.09
AC,77,81,15982.95,197.32
AP,67,68,13474.3,198.15
RR,45,46,7829.43,170.21
