month,active_customers,orders,revenue
2016-09-01,4,4,267.36
2016-10-01,321,324,49507.66
2016-12-01,1,1,10.9
2017-01-01,765,800,120312.87
2017-02-01,1755,1780,247303.02
2017-03-01,2642,2682,374344.3
2017-04-01,2372,2404,359927.23
2017-05-01,3625,3700,506071.14
2017-06-01,3180,3245,433038.6
2017-07-01,3947,4026,498031.48
2017-08-01,4246,4331,573971.68
2017-09-01,4212,4285,624401.69
2017-10-01,4561,4631,664219.43
2017-11-01,7430,7544,1010271.37
2017-12-01,5603,5673,743914.17
2018-01-01,7166,7269,950030.36
2018-02-01,6569,6728,844178.71
2018-03-01,7115,7211,983213.44
2018-04-01,6882,6939,996647.75
2018-05-01,6814,6873,996517.68
2018-06-01,6128,6167,865124.31
2018-07-01,6230,6292,895507.22
2018-08-01,6460,6512,854686.33
2018-09-01,14,16,145.0
2018-10-01,4,4,
