month,orders,avg_delivery_days,avg_delay_days,late_rate_percentage
2016-09-01,4,55.0,9.0,100.0
2016-10-01,324,19.61,0.06,0.74
2016-12-01,1,5.0,0.0,0.0
2017-01-01,800,12.75,0.56,2.93
2017-02-01,1780,13.3,0.57,2.96
2017-03-01,2682,13.04,1.1,4.56
2017-04-01,2404,15.02,0.77,6.56
2017-05-01,3700,11.43,0.36,2.99
2017-06-01,3245,12.01,0.42,3.03
2017-07-01,4026,11.49,0.31,2.79
2017-08-01,4331,11.02,0.25,2.91
2017-09-01,4285,11.72,0.4,4.39
2017-10-01,4631,11.73,0.37,4.18
2017-11-01,7544,15.07,1.34,12.4
2017-12-01,5673,15.31,0.71,7.46
2018-01-01,7269,14.01,0.66,5.7
2018-02-01,6728,16.88,1.73,14.14
2018-03-01,7211,16.24,1.84,18.96
2018-04-01,6939,11.42,0.46,4.5
2018-05-01,6873,11.34,0.46,6.56
2018-06-01,6167,9.16,0.15,1.16
2018-07-01,6292,8.89,0.28,3.38
2018-08-01,6512,7.66,0.27,6.19
2018-09-01,16,,0.0,
2018-10-01,4,,0.0,
