seller_id,orders,late_orders,late_rate_percentage,avg_delivery_delay_days
ad420dd0c4f92f8af951ac24b86d0cf5,41,3,100.0,119.0
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,35,3,100.0,28.0
6cd68b3ed6d59aaa9fece558ad360c0a,148,2,100.0,16.0
f7720c4fa8e3aba4546301ab80ea1f1b,59,3,100.0,13.0
b839e41795b7f3ad94cc2014a52f6796,32,1,100.0,9.0
70c27847eca8195c983ed7e798c56743,76,5,100.0,12.5
977f9f63dd360c2a32ece2f93ad6d306,23,2,100.0,8.0
e62b2d6ac10570a035a30bafcf01d263,61,7,100.0,2.0
d6b1ce66b035a475f00c017792ff9769,91,5,100.0,14.0
77a515caa36327151d1cc6c32a9f00e1,25,3,100.0,8.0
b561927807645834b59ef0d16ba55a24,84,12,100.0,47.0
54a1852d1b8f10312c55e906355666ee,199,15,100.0,51.0
3d8fa2f5b647373c8620330c4e077a9f,42,1,100.0,13.0
4371b634e0efc0e22b09b52907d9d469,101,7,100.0,2.0
d93919c944be9cff128f6c9cb899eacb,32,5,100.0,8.0
751bdc4d83a466c7206cd42e8f426b03,53,1,100.0,28.0
516e7738bd8f735ac19a010ee5450d8d,75,2,100.0,5.0
f76a3b1349b6df1ee875d1f3fa4340f0,23,7,100.0,11.33
45ba18c210d42734ec52c0c1c574e9ee,37,2,100.0,1.0
c31eff8334d6b3047ed34bebd4d62c36,121,14,100.0,1.0
