category,average_freight,freight_percentage
casa_conforto_2,13.68,35.05
flores,14.81,30.58
moveis_colchao_e_estofado,42.91,27.18
artigos_de_natal,21.11,26.84
fraldas_higiene,14.71,26.79
cds_dvds_musicais,16.07,23.56
sinalizacao_e_seguranca,32.7,23.23
alimentos_bebidas,16.22,22.9
eletronicos,16.83,22.52
fashion_esporte,19.27,21.43
moveis_sala,35.72,20.68
moveis_cozinha_area_de_servico_jantar_e_jardim,42.7,20.57
bebidas,15.15,20.38
moveis_escritorio,40.55,20.02
alimentos,14.26,19.83
moveis_decoracao,20.73,19.14
moveis_quarto,42.5,18.78
utilidades_domesticas,20.99,18.78
livros_tecnicos,16.04,18.32
fashion_roupa_feminina,12.95,18.15
telefonia,15.67,18.03
malas_acessorios,27.88,17.82
dvds_blu_ray,20.14,17.68
fashion_calcados,18.77,17.27
construcao_ferramentas_jardim,22.32,17.12
fashion_bolsas_e_acessorios,15.48,17.07
artes_e_artesanato,15.42,16.95
ferramentas_jardim,22.77,16.94
papelaria,18.59,16.85
fashion_underwear_e_moda_praia,14.63,16.72
fashion_roupa_masculina,16.31,16.62
industria_comercio_e_negocios,29.42,16.58
cama_mesa_banho,18.42,16.49
livros_interesse_geral,16.63,16.41
market_place,17.54,16.13
eletrodomesticos,19.22,15.6
artigos_de_festas,19.26,15.58
construcao_ferramentas_iluminacao,24.95,15.58
pet_shop,20.32,15.58
cine_foto,17.45,15.34
esporte_lazer,19.51,14.58
fashion_roupa_infanto_juvenil,11.94,14.35
artes,19.35,14.32
casa_construcao,22.9,14.27
bebes,22.3,14.24
livros_importados,12.83,14.23
tablets_impressao_imagem,14.77,14.01
la_cuisine,23.83,13.96
informatica_acessorios,18.82,13.91
brinquedos,18.81,13.79
Unknown,17.57,13.56
automotivo,21.88,13.52
seguros_e_servicos,20.61,12.7
casa_conforto,19.59,12.67
beleza_saude,18.88,12.67
construcao_ferramentas_construcao,22.23,12.49
perfumaria,15.86,11.96
cool_stuff,22.14,11.68
construcao_ferramentas_ferramentas,19.71,11.32
consoles_games,17.44,11.18
climatizacao,22.72,10.93
musica,18.17,10.27
audio,15.69,10.13
instrumentos_musicais,27.41,8.87
construcao_ferramentas_seguranca,20.2,8.81
eletrodomesticos_2,44.54,8.55
pc_gamer,14.84,7.95
eletroportateis,23.59,7.75
relogios_presentes,16.78,7.7
agro_industria_e_comercio,27.56,7.46
portateis_cozinha_e_preparadores_de_alimentos,20.65,7.24
telefonia_fixa,17.57,7.22
portateis_casa_forno_e_cafe,36.16,5.47
pcs,48.45,4.23
