category,orders,products,revenue,average_price
beleza_saude,8836,2444,1441248.07,130.16
relogios_presentes,5624,1329,1305541.61,201.14
cama_mesa_banho,9417,3029,1241681.72,93.3
esporte_lazer,7720,2867,1156656.48,114.34
informatica_acessorios,6689,1639,1059272.4,116.51
moveis_decoracao,6449,2657,902511.79,87.56
utilidades_domesticas,5884,2335,778397.77,90.79
cool_stuff,3632,789,719329.95,167.36
automotivo,3897,1900,685384.32,139.96
ferramentas_jardim,3518,753,584219.21,111.63
brinquedos,3886,1411,561372.55,117.55
bebes,2885,919,480118.0,134.34
perfumaria,3162,868,453338.71,116.74
telefonia,4199,1134,394883.32,71.21
moveis_escritorio,1273,309,342532.65,162.01
papelaria,2311,849,277741.71,91.75
pet_shop,1710,719,253876.65,110.07
pcs,181,30,232799.43,1098.34
instrumentos_musicais,628,289,210137.37,281.62
Unknown,1451,610,207705.09,112.0
eletronicos,2550,517,206825.06,57.91
eletroportateis,630,231,206668.83,280.78
fashion_bolsas_e_acessorios,1864,849,184273.54,75.25
consoles_games,1062,317,177293.24,138.49
malas_acessorios,1034,349,170875.21,128.6
construcao_ferramentas_construcao,748,400,165328.0,155.73
eletrodomesticos_2,234,90,123917.92,476.12
casa_construcao,490,225,96920.36,137.56
eletrodomesticos,764,370,94990.43,103.98
moveis_sala,422,156,86884.73,137.01
agro_industria_e_comercio,182,74,78374.07,342.12
casa_conforto,397,111,67073.27,134.96
telefonia_fixa,217,116,64220.81,225.69
climatizacao,253,124,61774.19,185.27
moveis_cozinha_area_de_servico_jantar_e_jardim,248,94,58327.8,164.87
audio,350,58,56398.94,139.25
livros_interesse_geral,512,216,56052.4,84.73
portateis_casa_forno_e_cafe,75,31,50193.57,624.29
construcao_ferramentas_iluminacao,244,78,48663.8,135.13
industria_comercio_e_negocios,235,68,47554.29,148.02
construcao_ferramentas_seguranca,167,91,44463.62,208.99
alimentos,450,82,36664.44,57.63
market_place,280,104,33834.53,91.25
construcao_ferramentas_jardim,194,88,31027.29,108.05
fashion_calcados,240,173,28481.64,89.93
artes,202,55,28247.81,115.8
bebidas,297,81,28169.95,59.18
sinalizacao_e_seguranca,140,93,28017.05,108.09
moveis_quarto,95,45,24661.01,183.75
livros_tecnicos,260,123,23379.12,71.52
alimentos_bebidas,227,104,19687.47,54.6
construcao_ferramentas_ferramentas,97,39,17934.17,154.41
fashion_roupa_masculina,112,95,12950.23,81.8
artigos_de_natal,128,65,12030.12,57.52
fashion_underwear_e_moda_praia,121,53,11457.74,72.84
tablets_impressao_imagem,79,9,8754.61,90.7
cine_foto,65,28,8189.66,96.3
dvds_blu_ray,59,48,7288.13,93.74
musica,38,27,6724.86,158.8
moveis_colchao_e_estofado,38,10,5998.54,114.95
livros_importados,53,31,5409.7,77.33
artigos_de_festas,39,26,5313.15,104.31
portateis_cozinha_e_preparadores_de_alimentos,14,10,4278.29,264.57
fashion_roupa_feminina,39,27,3425.39,58.41
fashion_esporte,27,19,2697.64,70.65
la_cuisine,13,10,2388.54,146.79
artes_e_artesanato,23,19,2184.14,75.58
fraldas_higiene,27,12,2141.27,40.19
pc_gamer,8,3,1679.52,171.77
flores,29,14,1598.91,33.64
casa_conforto_2,24,5,1170.58,25.34
cds_dvds_musicais,12,1,954.99,52.14
fashion_roupa_infanto_juvenil,8,5,665.36,71.23
seguros_e_servicos,2,2,324.51,141.64
