month,reviews,average_review_score
2016-10-01,179,4.06
2016-11-01,101,3.19
2016-12-01,45,2.36
2017-01-01,239,4.34
2017-02-01,1413,4.28
2017-03-01,2481,4.03
2017-04-01,2055,4.04
2017-05-01,3710,4.1
2017-06-01,3440,4.13
2017-07-01,3503,4.18
2017-08-01,4503,4.22
2017-09-01,4199,4.18
2017-10-01,4424,4.18
2017-11-01,4786,4.11
2017-12-01,7982,3.93
2018-01-01,6179,4.06
2018-02-01,6101,4.01
2018-03-01,7803,3.73
2018-04-01,7287,3.92
2018-05-01,7458,4.19
2018-06-01,6715,4.2
2018-07-01,5634,4.29
2018-08-01,8987,4.21
