month,orders,revenue,average_order_value
2016-09-01,4,267.36,89.12
2016-10-01,324,49507.66,160.74
2016-12-01,1,10.9,10.9
2017-01-01,800,120312.87,152.49
2017-02-01,1780,247303.02,142.7
2017-03-01,2682,374344.3,141.74
2017-04-01,2404,359927.23,150.53
2017-05-01,3700,506071.14,138.27
2017-06-01,3245,433038.6,134.61
2017-07-01,4026,498031.48,125.48
2017-08-01,4331,573971.68,133.7
2017-09-01,4285,624401.69,147.16
2017-10-01,4631,664219.43,145.41
2017-11-01,7544,1010271.37,135.59
2017-12-01,5673,743914.17,132.27
2018-01-01,7269,950030.36,131.58
2018-02-01,6728,844178.71,126.11
2018-03-01,7211,983213.44,136.79
2018-04-01,6939,996647.75,143.73
2018-05-01,6873,996517.68,145.41
2018-06-01,6167,865124.31,140.44
2018-07-01,6292,895507.22,142.76
2018-08-01,6512,854686.33,132.47
2018-09-01,16,145.0,145.0
2018-10-01,4,,
