seller_id,total_orders,late_orders,late_rate_percentage,average_delivery_delay_days
6560211a19b47992c3666cc44a7e94c0,1853,96,6.04,-12.23
4a3ca9315b744ce9f8e9374361493884,1805,172,11.22,-10.87
cc419e0650a3c5ba77189a1882b7556a,1705,87,5.31,-14.28
1f50f920176fa81dab994f9023523100,1403,124,25.0,-11.61
da8622b14eb17ae2831f4ac5b9dab84a,1313,87,16.67,-12.67
955fee9216a65b617aa5c0531780ce60,1286,77,8.43,-10.65
7a67c85e85bb2ce8582c35f2203ad736,1159,60,6.67,-12.84
ea8482cd71df3c1969d7b9473ff13abc,1145,96,10.64,-9.66
4869f7a5dfa277a7dca6462dcf3b52b2,1131,118,15.47,-10.44
3d871de0142ce09b7081e2b9d1733cb1,1079,58,6.15,-14.17
7c67e1448b00f6e969d365cea6b010ab,981,89,10.4,-12.56
8b321bb669392f5163d04c59e235e066,942,81,13.7,-9.79
1025f0e2d44d7041d6cf58b6550e0bfa,914,72,33.33,-10.54
620c87c171fb2a6dd6e8bb4dec959fc6,739,63,10.58,-19.02
a1043bafd471dff536d0c462352beb48,717,35,5.49,-12.23
cca3071e3e9bb7d12640c9fbe2301306,711,34,5.02,-19.61
f8db351d8c4c4c22c6835c19a46f01b0,666,28,6.36,-12.87
e9779976487b77c6d4ac45f75ec7afe9,656,39,11.11,-9.76
fa1c13f2614d7b5c4749cbc52fecda94,584,53,11.11,-11.38
7d13fca15225358621be4086e1eb0964,564,64,57.14,-6.54
