seller_id,total_orders,late_orders,late_rate_percentage,average_delivery_delay_days
42b729f859728f5079499127a9c2ef37,103,7,100.0,-5.33
06df0c10d34e459d9672bc77388742eb,25,1,100.0,-10.79
70c27847eca8195c983ed7e798c56743,76,5,100.0,-9.45
77a515caa36327151d1cc6c32a9f00e1,25,3,100.0,-8.46
6cd68b3ed6d59aaa9fece558ad360c0a,148,2,100.0,-14.72
45ba18c210d42734ec52c0c1c574e9ee,37,2,100.0,-11.17
058fd0aa2bfdb2274e05e1ae971dabb6,60,4,100.0,-9.63
e62b2d6ac10570a035a30bafcf01d263,61,7,100.0,-7.72
b561927807645834b59ef0d16ba55a24,84,12,100.0,-3.73
94144541854e298c2d976cb893b81343,67,3,100.0,-14.95
8b28d096634035667e8263d57ba3368c,142,15,100.0,-5.46
516e7738bd8f735ac19a010ee5450d8d,75,2,100.0,-15.55
c31eff8334d6b3047ed34bebd4d62c36,121,14,100.0,-9.26
4371b634e0efc0e22b09b52907d9d469,101,7,100.0,-9.42
f7720c4fa8e3aba4546301ab80ea1f1b,59,3,100.0,-11.43
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,35,3,100.0,-4.82
11bfa66332777660bd0640ee84d47006,75,11,100.0,-9.16
ad420dd0c4f92f8af951ac24b86d0cf5,41,3,100.0,-1.2
d93919c944be9cff128f6c9cb899eacb,32,5,100.0,-11.22
411f3b52d857390502ee4e4d5ceabc2d,20,2,100.0,-2.77
